-1.998		42.215		
-8.261		10.307		
5.389		-7.769		
-8.788		-3.745		
35.652		19.915		
-5.362		36.831		
46.326		18.438		
39.238		3.439		
-0.777		18.357		
32.335		31.254		
40.721		47.306		
5.618		47.055		
-0.444		16.818		
-2.061		5.101		
-3.727		3.173		
4.868		3.99		
22.703		15.863		
23.239		-2.985		
18.916		43.099		
5.331		36.929		
18.115		21.837		
-2.805		25.912		
-4.159		40.931		
25.832		-5.774		
7.683		48.379		
-3.368		24.272		
2.4		9.069		
-3.541		47.729		
13.004		8.127		
37.313		-2.972		
22.879		44.696		
31.282		14.663		
45.468		30.989		
15.822		45.765		
5.378		-2.491		
19.063		-7.119		
39.052		-5.36		
1.917		40.176		
26.281		21.199		
15.249		18.08		
24.91		5.123		
25.301		-9.005		
19.07		-8.786		
16.802		8.808		
13.142		-0.285		
40.969		10.844		
22.446		29.577		
19.671		11.341		
5.343		45.443		
48.567		-5.271		
