39.11		-6.692		6.679		16.384		6.974		6.401		22.375		16.555		
21.126		4.976		31.731		-1.59		31.632		-8.632		-9.782		8.38		
23.482		-6.778		4.896		16.884		10.339		-2.267		10.835		-6.809		
18.379		1.724		-9.558		-6.755		14.929		29.812		37.952		-9.228		
4.078		14.255		15.668		-4.151		-2.124		3.71		42.384		38.817		
33.285		32.071		24.859		42.791		-5.437		27.758		27.112		28.312		
27.334		49.286		0.782		-9.378		14.213		20.754		-4.213		29.884		
24.464		39.907		27.05		8.173		-2.13		42.767		16.093		44.467		
34.656		9.435		-9.083		22.951		9.048		-5.433		24.674		24.869		
41.819		2.184		44.317		9.852		21.938		42.945		3.557		16.111		
-8.704		47.74		39.216		1.142		46.29		23.471		22.259		-2.386		
30.971		3.212		10.597		40.938		48.358		42.47		9.04		26.591		
5.459		-9.807		35.635		0.664		14.538		15.25		41.962		30.244		
6.155		37.58		10.892		-3.804		4.567		2.874		41.724		3.607		
24.123		-1.327		20.582		11.682		31.422		33.0		16.449		40.14		
33.098		5.212		-3.761		7.243		4.297		22.585		5.865		7.412		
12.09		36.25		36.341		30.041		11.28		21.482		0.58		27.485		
15.359		41.046		7.712		35.436		41.617		31.217		34.383		-9.172		
42.752		19.364		4.775		-2.811		8.687		44.479		25.765		3.877		
49.657		-6.153		36.957		49.957		45.07		13.114		7.111		4.575		
12.089		48.39		23.827		0.536		4.333		9.652		46.232		36.499		
-1.348		28.642		7.773		30.579		17.416		39.652		26.208		-2.582		
28.38		2.081		14.293		2.764		27.746		12.409		21.704		-2.627		
49.718		-5.708		39.212		-7.367		14.462		25.792		44.227		20.638		
41.142		26.384		17.387		9.571		43.365		-5.73		47.989		8.159		
16.174		12.687		25.727		16.659		-4.502		47.386		21.347		39.303		
7.793		26.144		23.587		19.358		41.457		15.239		47.977		0.038		
2.498		-6.928		17.851		38.258		24.829		19.739		8.261		29.871		
34.532		5.177		5.276		38.361		-5.613		45.683		19.546		32.153		
44.005		45.005		34.91		41.622		37.902		26.927		-5.768		5.601		
-9.054		40.229		-9.348		0.718		29.731		15.205		7.885		49.119		
20.506		5.435		1.27		-0.732		18.529		2.36		34.798		36.286		
28.843		49.312		36.439		18.983		45.739		-5.965		37.717		40.096		
24.43		4.419		25.625		47.457		0.718		18.111		13.647		-9.205		
46.794		36.919		21.873		28.582		24.646		40.414		47.945		39.931		
-5.07		-8.036		-3.185		-3.195		42.586		43.491		23.145		8.937		
2.916		24.616		49.476		2.702		38.327		-6.517		29.192		31.87		
0.453		21.493		-7.322		12.585		7.887		28.378		27.033		40.141		
7.364		13.516		33.119		36.13		-6.193		-8.817		36.767		8.33		
1.284		-8.549		25.443		9.225		49.619		21.803		31.773		7.45		
-6.948		4.129		5.863		34.534		47.107		40.651		4.531		22.238		
1.567		27.526		36.154		24.488		31.247		-8.71		20.061		20.335		
-7.906		20.092		-6.91		27.675		42.954		0.626		45.178		33.444		
-2.706		36.012		21.629		22.856		14.011		6.448		25.003		1.821		
17.467		14.282		36.42		29.075		0.82		-9.65		14.423		28.689		
39.769		0.793		20.454		-6.407		44.835		16.314		8.44		1.431		
10.403		32.798		-8.091		27.612		4.825		46.488		8.601		29.65		
17.043		3.456		40.519		42.009		-0.665		43.959		-9.054		35.451		
37.993		-2.667		10.034		36.568		46.977		5.535		39.179		19.544		
22.827		33.041		6.575		24.41		49.427		-0.162		30.98		21.003		
