48.201		16.973		5.144		
-0.321		7.134		38.533		
30.311		15.284		-1.85		
-6.846		46.826		1.389		
28.863		33.284		40.476		
47.663		42.871		-8.09		
35.291		38.651		15.067		
-8.099		5.661		20.496		
17.149		18.07		39.683		
6.307		10.915		12.156		
31.645		6.671		-4.043		
11.04		48.029		-9.457		
9.584		45.041		-6.422		
35.322		-6.86		26.062		
42.774		39.441		35.414		
47.681		17.548		18.198		
12.503		-4.975		30.164		
8.87		18.305		-1.575		
3.99		45.4		12.815		
-7.627		28.31		11.046		
11.522		14.283		7.425		
27.438		-6.493		-6.076		
24.02		44.413		13.289		
12.133		-5.786		21.878		
33.073		14.644		40.72		
-0.335		-2.181		29.387		
44.302		40.04		26.456		
8.675		-4.936		4.064		
40.677		29.019		6.141		
16.509		-0.076		31.17		
6.047		10.384		27.623		
8.157		5.268		22.429		
7.221		35.736		26.711		
19.118		36.317		40.645		
-7.774		6.827		44.0		
27.538		-4.218		48.794		
35.551		24.256		28.801		
12.458		11.814		36.359		
41.804		-4.472		-2.122		
-7.511		-4.225		26.902		
48.183		13.17		-2.381		
35.161		21.81		35.119		
-0.355		27.901		35.509		
26.014		16.267		24.615		
-8.047		-4.081		15.035		
8.186		28.848		35.25		
34.634		40.303		27.74		
26.253		42.736		6.266		
23.829		25.456		36.441		
7.737		10.653		-7.566		
